#,Domain,Address,Type,Date
1,wulintang.net,49.232.52.211,A,2022-11-14
2,www.wulintang.net,49.232.52.211,A,2021-11-06
3,wulintang.net,mxbiz1.qq.com.,MX,2021-11-03
4,wulintang.net,mxbiz2.qq.com.,MX,2021-11-03
5,www.wulintang.net,2402:4e00:1200:a3de:0:93db:d538:d6a9,AAAA,2021-11-01
6,wulintang.net,2402:4e00:1200:a3de:0:93db:d538:d6a9,AAAA,2021-11-01
7,wulintang.net,mxbiz1.qq.com,MX,2021-10-03
8,wulintang.net,mxbiz2.qq.com,MX,2021-10-03
